ipa,license,other
c_d429,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_a739,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_c704,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f013,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_F793,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_g028,http://creativecommons.org/licenses/by/2.5/it/,licenza Creative Commons - Attribuzione 2.5 Italia
c_a390,http://creativecommons.org/licenses/by-nc/3.0/deed.it,
c_d468,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l776,http://creativecommons.org/licenses/by-nc/3.0/deed.it,Creative Commons attribuzione non Commerciale 3.0
c_g643,http://creativecommons.org/licenses/by-nc-sa/3.0/it/,
c_d628,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f496,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_e202,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,
c_i667,http://www.creativecommons.org/,creativecommons.org
c_c544,http://creativecommons.org/licenses/by-sa/2.5/it/,licenza Creative Commons Attribuzione - Condividi allo stesso modo 2.5 Italia
c_m366,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l500,https://creativecommons.org/licenses/by-nc-sa/3.0/it/deed.it,Licenza Creative Commons Attribuzione - non commerciale - condividi allo stesso modo
c_i647,https://creativecommons.org/licenses/by-nc-nd/3.0/it/deed.it,Creative Commons
c_g823,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_d188,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_i714,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY)
c_a324,http://creativecommons.org/licenses/by-nc-sa/2.5/it/,http://creativecommons.org/licenses/by-nc-sa/2.5/it/
c_i651,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f727,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
